Ville,Titre,Lien,Description,Prix,Détails
paris-75,Appartement - 2 pièce(s) - 56 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286958917A1KIVHAP000,"Ce beau duplex, idéalement situé dans le quartier st paul, est au rdc/1er étage d'une très belle copropriété.
il se compose d'une grande pièce de vie de 22m2 avec ces deux grandes fenêtres, une cuisine indépendante équipée. à  l'étage, un coin...",647 000 €*11 554 € / m2,2 pièces
paris-75,Maison - 3 pièce(s) - 78 m²,https://www.paruvendu.fr/immobilier/maison-neuve/1286658884A1KIVHMN000,"Derniers lots disponibles - visites possibles. située au cur du quartier ménilmontant, entre les métros gambetta et pelleport, à deux pas de la rue des pyrénées, cette charmante maison familiale de 3 pièces avec jardin et terrasse vous attend....",1 160 000 €14 872 € / m2,"3 pièces, 2
chambres, DPE :A"
paris-75,Appartement - 4 pièce(s) - 96 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286955045A1KIVHAP000,"Paris 8ème ? parc monceau 
appartement d'architecte type 4 pièces de 95,24 m² carrez (96,70 m² au sol) avec balcon et cave voûtée. surface pondérée : environ 101 m².
au 2ème étage avec ascenseur d'un immeuble haussmannien en pierre de...",1 650 000 €*17 188 € / m2,"4 pièces, 3
chambres, Balcon, DPE :D"
paris-75,Maison - 4 pièce(s) - 86 m²,https://www.paruvendu.fr/immobilier/maison-neuve/1286658885A1KIVHMN000,"Derniers lots disponibles - visites possibles. située au cur du quartier ménilmontant, entre les métros gambetta et pelleport, à deux pas de la rue des pyrénées, cette charmante maison familiale de 4 pièces avec jardin et terrasse vous attend....",1 235 000 €14 360 € / m2,"4 pièces, 3
chambres, DPE :A"
paris-75,Duplex/triplex - 2 pièce(s) - 28 m²,https://www.paruvendu.fr/immobilier/vente/duplex-triplex/1286669676A1KIVHDU000,"À deux pas de la place de la bastille, découvrez ce bel appartement en duplex plein sud de 28 m², baigné de lumière tout au long de la journée et offrant une vue dégagée sur l'angelot de la colonne de juillet.
situé dans une résidence sécurisée...",329 000 €*11 750 € / m2,"2 pièces, 1
chambre, Ascenseur, DPE :D"
paris-75,,https://www.paruvendu.fr/immobilier/prestige/maison/1285718262A1KIVHMN000,"Casavo vous propose à la vente cette remarquable maison d'architecte d'une surface pondérée de 355 m² (306 m² carrez, 422 m² habitables), située à quelques mètres seulement du 13? arrondissement de paris.  Édifiée en 2000 sur les fondations d'un...",2 392 000 €6 738 € / m2,"10 pièces, 6
chambres, Terrain 80 m2, DPE :C143kWh/m².an21kg CO2/m².an"
paris-75,Appartement - 2 pièce(s) - 24 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286849647A1KIVHAP000,"Situé entre les métros stalingrad et louis blanc, dans une rue calme, ce 2 pièces de 24m² offre un beau potentiel de rénovation (voir plan de projection). parquet d'origine, moulures et joli balcon.
immeuble bien entretenu, proximité immédiate...",192 000 €*8 000 € / m2,"2 pièces, 1
chambre, Balcon, DPE :G"
paris-75,Hôtel Particulier - 15 + pièce(s) - 593 m²,https://www.paruvendu.fr/immobilier/prestige/hotel-particulier/1286175488A1KIVHHP000,Paris 17 eme  boulevard pereire  immeuble indÉpendant À usage professionnel / bureaux de prestige  592 m² avec jardin et toit-terrasse.    franck aubret  optimhome prestige paris & atlantique vous propose d'acquérir ce bien d'exception situé...,10 500 000 €17 707 € / m2,"15 + pièces, DPE :C147kWh/m².an11kg CO2/m².an"
paris-75,Appartement - 4 pièce(s) - 75 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286518127A1KIVHAP000,"À vendre directement par le propriétaire - rez-de-chaussée lumineux sur rue de 75 m², situé dans le quartier recherché pernety - montparnasse (paris 14).
- 4 pièces : vaste séjour de 27 m² avec cuisine ouverte, 3 vraies chambres, une salle de...",585 000 €*7 800 € / m2,"4 pièces, 3
chambres, Garage, DPE :E"
paris-75,Maison - 5 pièce(s) - 240 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1286016410A1KIVHMN000,"Un appartement comme une maison, caché dans un écrin de verdure nichée au calme, à l'abri des regards, cette adresse confidentielle du 12e arrondissement abrite un bien rare : un appartement en duplex avec jardin privatif, qui se vit comme une...",1 990 000 €8 292 € / m2,"5 pièces, 4
chambres, Terrain 122 m2, DPE :E258kWh/m².an53kg CO2/m².an"
